0;36;0
1;40;55
1;40;56
1;41;57
1;41;58
1;42;59
2;42;60
2;42;61
2;42;62
2;43;63
2;43;64
3;44;65
3;44;69
3;45;69
3;46;70
3;46;72
4;47;72
5;49;77
5;49;78
5;50;82
6;52;82
6;52;83
6;52;85
7;53;85
7;54;93
9;57;93
9;58;95
9;58;95
10;59;97
10;59;97
12;64;105
12;64;106
13;65;108
13;66;109
14;68;113
18;73;122
18;74;122
18;74;125
19;74;125
19;75;125
22;79;134
23;80;137
23;81;137
25;84;145
26;85;149
27;86;152
27;87;163
29;89;163
29;89;165
30;89;167
30;90;172
30;91;175
30;91;179
30;91;181
31;91;184
31;91;253
31;91;258
32;91;261
32;91;262
32;90;264
32;90;267
32;89;271
32;89;273
32;89;273
33;88;278
33;88;285
33;87;285
34;86;288
34;85;293
35;85;294
36;82;302
37;81;304
37;80;308
40;76;319
40;75;319
44;68;333
44;67;333
46;66;337
49;61;345
51;58;349
53;55;354
55;52;360
61;46;370
63;43;375
70;38;384
70;38;388
73;36;388
81;31;401
84;29;401
90;26;411
100;23;421
108;20;429
109;20;431
118;18;438
129;16;448
130;16;450
135;15;455
142;13;460
153;12;469
157;11;473
163;10;478
164;10;480
169;9;485
174;8;491
179;7;496
187;6;503
191;5;509
199;3;517
203;3;524
205;2;527
209;1;535
212;1;543
215;0;555
216;0;558
