21;42;0
21;43;44
21;45;52
21;49;61
23;55;69
26;62;77
29;72;86
33;81;94
37;91;102
41;101;111
46;110;126
52;118;127
57;126;135
60;130;144
63;133;152
67;137;160
71;140;167
73;142;176
76;144;183
79;145;192
81;146;199
82;147;209
84;147;216
84;147;225
85;147;232
85;147;242
86;147;249
87;145;259
88;141;266
90;132;275
92;122;282
94;106;292
97;85;299
99;69;309
101;58;310
103;47;318
105;34;327
107;25;335
108;17;343
110;11;352
111;6;360
111;2;369
112;1;377
111;0;394
110;1;402
107;5;410
103;11;419
98;18;427
91;27;435
84;38;444
75;50;452
67;63;460
59;77;469
52;89;475
45;101;482
37;115;492
29;129;499
22;140;509
17;148;516
12;156;525
8;160;532
5;165;542
3;168;549
2;170;558
1;171;566
0;172;576
0;172;582
