135;0;0
133;4;82
133;4;84
133;4;86
133;5;87
133;5;90
133;6;92
132;7;96
132;7;96
131;8;100
131;9;102
130;12;110
129;12;112
129;12;112
128;13;116
128;14;116
128;14;120
128;15;120
128;16;121
126;19;130
125;20;130
125;20;132
125;21;132
122;26;141
122;26;145
121;27;145
120;29;147
119;32;153
118;33;156
117;34;156
115;38;162
114;40;165
113;40;167
113;41;167
109;47;176
107;50;180
105;53;185
100;59;193
97;65;201
97;65;206
95;67;206
95;68;206
92;73;213
87;80;223
86;83;228
85;84;230
84;85;230
81;91;241
80;91;242
76;98;252
74;101;256
74;102;258
74;102;259
71;106;267
68;110;275
66;113;280
64;117;287
61;120;293
59;123;300
56;127;307
55;128;310
55;129;310
53;130;315
53;131;315
49;134;322
47;137;329
44;140;341
41;142;345
41;143;348
37;147;356
36;148;358
32;153;367
29;155;373
26;160;382
24;161;385
21;164;391
20;165;397
18;168;403
13;173;412
11;175;420
9;178;427
9;178;430
7;181;436
5;183;440
3;187;453
3;187;456
1;190;466
0;191;471
0;191;474
0;192;480
0;192;489
0;193;495
0;193;630
0;193;634
0;193;638
1;192;642
3;192;648
3;192;651
8;192;665
12;192;674
15;191;680
19;191;688
24;191;697
30;191;706
35;191;713
40;191;720
48;191;728
56;191;736
64;190;742
71;190;748
80;189;756
89;189;763
95;188;769
106;187;777
116;186;785
125;186;793
131;185;799
139;185;808
145;185;816
150;185;824
152;185;828
156;185;838
160;185;846
161;185;851
164;185;861
164;185;861
166;185;868
168;185;875
170;185;884
173;185;891
174;185;897
177;185;906
179;184;918
180;184;918
180;184;922
182;184;934
183;184;942
184;184;950
184;184;956
184;184;997
184;184;1002
184;184;1006
185;184;1010
189;184;1023
192;184;1031
194;184;1038
199;184;1052
202;184;1062
204;184;1069
206;183;1081
206;183;1087
206;183;1180
206;183;1190
206;183;1192
206;182;1201
206;182;1202
206;181;1212
206;181;1222
206;180;1229
206;180;1239
206;180;1249
206;180;1264
206;180;1274
206;179;1281
206;179;1287
206;178;1294
206;177;1306
205;176;1306
205;173;1315
204;167;1331
204;167;1331
204;164;1338
202;157;1351
201;152;1358
199;142;1371
199;142;1371
197;138;1376
195;128;1389
193;121;1398
189;111;1412
187;103;1424
185;95;1438
183;91;1438
181;86;1445
181;85;1455
174;58;1493
172;49;1514
168;35;1555
168;33;1576
168;32;1594
167;31;1627
167;31;1642
167;30;1663
167;29;1681
166;28;1694
166;27;1707
166;26;1717
166;26;1732
166;26;1748
165;26;1803
165;25;1810
165;25;1817
165;25;1830
165;24;1844
165;24;1858
165;24;2029
165;24;2033
165;23;2043
165;22;2062
165;22;2068
165;22;2084
165;21;2093
165;21;2315
165;21;2321
165;21;2328
165;20;2340
164;19;2358
164;19;2369
164;19;2384
